,Date,Symbol,Company,Sector,PClose,Open,High,Low,Close,Change,Deals,Volume,Value,VWAP
15547,2025-05-19,JAIZBANK,,,3.21,3.21,3.3,3.12,3.3,0.09,187,2538937,8177597.15,3.22
15545,2025-05-19,INTBREW,,,9.4,9.4,9.7,9.6,9.6,0.2,138,2381606,22908885.47,9.62
15544,2025-05-19,INFINITY,,,6.8,6.8,6.8,6.8,6.8,0,12,178769,1181398.2,6.61
15543,2025-05-19,IMG,,,39.85,39.85,39.85,39.85,39.85,0,31,57619,2211039.65,38.37
15542,2025-05-19,IKEJAHOTEL,,,14,14,15.4,15.4,15.4,1.4,86,728708,11153605.2,15.31
15541,2025-05-19,HONYFLOUR,,,18.15,18.15,19.2,18,18.4,0.25,797,15734545,296467938.3,18.84
15540,2025-05-19,HMCALL,,,4.23,4.23,4.23,4.23,4.23,0,32,753605,3206518.14,4.25
15546,2025-05-19,INTENEGINS,,,1.7,1.7,1.82,1.74,1.74,0.04,31,853095,1524287.99,1.79
15527,2025-05-19,ETI,,,28.7,28.7,29,29,29,0.3,98,922522,26970076.05,29.24
15526,2025-05-19,ETERNA,,,43,43,43,43,43,0,90,425788,18325668.5,43.04
15539,2025-05-19,GUINNESS,,,80,80,86,85,86,6,72,679834,58047755.45,85.39
15528,2025-05-19,ETRANZACT,,,5.9,5.9,6.1,6.1,6.1,0.2,35,230051,1411404.9,6.14
15529,2025-05-19,EUNISELL,,,10.75,10.75,11.8,11.8,11.8,1.05,18,178642,2065970.55,11.56
15530,2025-05-19,FCMB,,,9.4,9.4,9.5,9.35,9.45,0.05,470,3091040,29042204,9.4
15532,2025-05-19,FIDSON,,,27.85,27.85,27.85,27.85,27.85,0,242,844785,23258163.7,27.53
15531,2025-05-19,FIDELITYBK,,,20.8,20.8,20.4,20,20,-0.8,885,39413103,799699833.25,20.29
15534,2025-05-19,FTNCOCOA,,,2.59,2.59,2.48,2.34,2.34,-0.25,210,13668911,32741255.3,2.4
15535,2025-05-19,GEREGU,,,1141.5,1141.5,1141.5,1141.5,1141.5,0,197,5058,5196589.2,1027.4
15536,2025-05-19,GREENWETF,,,425,425,460,425,460,35,2,15,6410,427.33
15537,2025-05-19,GTCO,,,68,68,68.5,68,68.5,0.5,946,32443068,2207160329.6,68.03
15538,2025-05-19,GUINEAINS,,,0.65,0.65,0.65,0.65,0.65,0,26,1269442,825969.28,0.65
15533,2025-05-19,FIRSTHOLDCO,,,24.95,24.95,25.15,25,25,0.05,383,5432260,135941332.35,25.02
15708,2025-05-20,NPFMCRFBK,,,2.47,2.47,2.45,2.41,2.41,-0.6,46,1601491,3901975.93,2.44
15704,2025-05-20,NEWGOLD,,,70000,70000,69999.98,65000,65000,-5000,8,15,1014999.84,67666.66
15705,2025-05-20,NGXGROUP,,,35.5,35.5,35.5,35.5,35.5,0,41,728113,25359226.3,34.83
15706,2025-05-20,NIDF,,,111.7,111.7,111.7,111.7,111.7,0,76,1006328,113521361.9,112.81
15707,2025-05-20,NNFM,,,131.85,131.85,131.85,131.85,131.85,0,214,1568974,203925226.35,129.97
15709,2025-05-20,NSLTECH,,,0.61,0.61,0.62,0.58,0.58,-0.3,26,2178276,1325249.56,0.61
15715,2025-05-20,PZ,,,29.5,29.5,29.5,29.5,29.5,0,68,476226,13899879.05,29.19
15711,2025-05-20,OKOMUOIL,,,590,590,590,590,590,0,249,45861,27096414.5,590.84
15712,2025-05-20,OMATEK,,,0.68,0.68,0.66,0.66,0.66,-0.2,11,315775,211325,0.67
15713,2025-05-20,PRESCO,,,880,880,880,880,880,0,183,210047,181573884.9,864.44
15714,2025-05-20,PRESTIGE,,,1,1,1.05,1.04,1.04,0.04,25,681561,707338.74,1.04
15703,2025-05-20,NESTLE,,,1331,1331,1464.1,1464.1,1464.1,133.1,150,322095,468446488.6,1454.37
15710,2025-05-20,OANDO,,,53,53,52.5,52.5,52.5,-0.5,486,4231520,217633166.25,51.43
15702,2025-05-20,NEM,,,14.6,14.6,14.6,14.6,14.6,0,32,129689,1887254.25,14.55
15687,2025-05-20,MAYBAKER,,,13.5,13.5,13.45,12.25,13.45,-0.5,200,5460367,69728127.2,12.77
15700,2025-05-20,NCR,,,7.3,7.3,7.3,7.3,7.3,0,6,12573,94297.5,7.5
15699,2025-05-20,NB,,,57,57,59.75,58,59.5,2.5,404,8776996,518832147.6,59.11
15698,2025-05-20,NASCON,,,54.7,54.7,54.6,54,54,-0.7,139,1764428,95288518.1,54.01
15697,2025-05-20,NAHCO,,,73.35,73.35,70.8,70.8,70.8,-2.55,209,1848559,133321361.85,72.12
15696,2025-05-20,MULTIVERSE,,,8.85,8.85,9.7,9.7,9.7,0.85,74,1797307,17256755.4,9.6
15695,2025-05-20,MTNN,,,275,275,275,275,275,0,647,3584479,972234037.6,271.23
15694,2025-05-20,MRS,,,157.5,157.5,157.5,157.5,157.5,0,35,13375,1898620.1,141.95
15693,2025-05-20,MEYER,,,9.65,9.65,9,9,9,-0.65,11,155505,1447588.75,9.31
15692,2025-05-20,MERVALUE,,,118.8,118.8,130.68,119,130.68,11.88,9,12479,1608308.28,128.88
15691,2025-05-20,MERGROWTH,,,423,422.99,422.99,422.99,422.99,-0.1,2,3286,1389945.14,422.99
15690,2025-05-20,MECURE,,,11.1,11.1,11.1,11.1,11.1,0,18,94735,1136375.4,12
15689,2025-05-20,MCNICHOLS,,,2.33,2.55,2.56,2.35,2.54,0.21,130,8681142,21998191.22,2.53
15688,2025-05-20,MBENEFIT,,,1.02,1.02,1.09,0.92,0.92,-0.1,93,12941931,13099272.15,1.01
15716,2025-05-20,REDSTAREX,,,5.55,5.55,5.55,5.55,5.55,0,3,1171,7143.1,6.1
15701,2025-05-20,NEIMETH,,,3.8,3.8,3.55,3.55,3.55,-0.25,136,2475557,8693422.43,3.51
15717,2025-05-20,REGALINS,,,0.6,0.6,0.66,0.6,0.66,0.06,51,4224041,2624010.36,0.62
15749,2025-05-20,WEMABANK,,,13.5,13.5,13.5,13.05,13.05,-0.45,309,12352240,162695589,13.17
15719,2025-05-20,RTBRISCOE,,,1.9,1.9,1.9,1.9,1.9,0,34,145900,290821.54,1.99
15750,2025-05-20,ZENITHBANK,,,48,48,48.4,48,48.05,0.05,760,12656649,608894967.8,48.11
15748,2025-05-20,WAPIC,,,1.94,1.94,1.99,1.99,1.99,0.05,68,1551014,3086438.64,1.99
15747,2025-05-20,WAPCO,,,79.75,79.75,79.75,79.75,79.75,0,171,1478371,116249821.15,78.63
15746,2025-05-20,VSPBONDETF,,,255.5,255.5,255.5,255.5,255.5,0,1,3,766.5,255.5
15745,2025-05-20,VITAFOAM,,,54.9,54.9,58.8,56,58.8,3.9,146,1608073,91937075.35,57.17
15744,2025-05-20,VFDGROUP,,,16.1,16.1,16.1,16.1,16.1,0,218,3025332,46567207.1,15.39
15743,2025-05-20,VETBANK,,,12,12,12.6,12.6,12.6,0.6,1,158,1990.8,12.6
15742,2025-05-20,VERITASKAP,,,1.07,1.07,1.06,0.99,1,-0.7,105,19802251,19874292.01,1
15741,2025-05-20,UPL,,,3.97,3.97,3.97,3.97,3.97,0,38,560775,2430972.26,4.34
15740,2025-05-20,UPDC,,,3.01,3.01,3.03,3.01,3.03,0.02,81,3282614,9919077.96,3.02
15739,2025-05-20,UNIVINSURE,,,0.54,0.54,0.54,0.52,0.53,-0.1,50,2773167,1471320.35,0.53
15738,2025-05-20,UNIONDICON,,,7.45,7.45,7.45,7.45,7.45,0,7,36251,262519.8,7.24
15737,2025-05-20,UNILEVER,,,43,43,47,44.95,47,4,90,1153947,52911736.35,45.85
15736,2025-05-20,UCAP,,,18.3,18.5,18.9,18.5,18.9,0.6,308,26743378,496397632.45,18.56
15718,2025-05-20,ROYALEX,,,0.85,0.85,0.85,0.85,0.85,0,10,240995,203525.9,0.84
15735,2025-05-20,UBA,,,34.5,34.5,34.95,34.5,34.5,0,828,36397047,1258761863.75,34.58
15733,2025-05-20,TRIPPLEG,,,2,2,2.2,2.2,2.2,0.2,14,125411,273350,2.18
15732,2025-05-20,TRANSPOWER,,,328.5,328.5,328.5,328.5,328.5,0,61,22845,6755266.5,295.7
15731,2025-05-20,TRANSCORP,,,45.1,45.1,46,45,45,-0.1,222,2551748,115566633.25,45.29
15730,2025-05-20,TRANSCOHOT,,,153.8,153.8,153.8,153.8,153.8,0,70,14560,2145833.75,147.38
15729,2025-05-20,TOTAL,,,705,705,705,705,705,0,123,71919,45835746.6,637.32
15728,2025-05-20,TIP,,,6.12,6.12,6.1,6,6.1,-0.2,169,3828792,23085475.14,6.03
15727,2025-05-20,TANTALIZER,,,2.53,2.78,2.78,2.7,2.78,0.25,222,27587301,76434579.99,2.77
15726,2025-05-20,SUNUASSUR,,,4.91,4.91,4.9,4.9,4.9,-0.1,98,1709898,8097939.15,4.74
15725,2025-05-20,STERLINGNG,,,6.07,6.07,6.13,6,6.03,-0.4,320,8794423,53569001.32,6.09
15724,2025-05-20,STANBIC,,,69,69,69,69,69,0,95,164379,11412086.2,69.43
15723,2025-05-20,SOVRENINS,,,1,1,1.04,0.97,1.03,0.03,38,1316061,1330183.73,1.01
15722,2025-05-20,SKYAVN,,,66.4,66.4,66.4,66.4,66.4,0,20,65083,3958548.4,60.82
15721,2025-05-20,SEPLAT,,,5588.9,5588.9,5588.9,5588.9,5588.9,0,155,2193,11031009.3,5030.1
15720,2025-05-20,SCOA,,,4.47,4.47,4.47,4.47,4.47,0,7,9784,46609.25,4.76
15734,2025-05-20,UACN,,,33,33,33,33,33,0,27,119078,3966051.25,33.31
15686,2025-05-20,MANSARD,,,9,9,9,9,9,0,63,1430722,12866673.96,8.99
15684,2025-05-20,LIVESTOCK,,,8.5,8.5,9,8.12,8.12,-0.38,128,3676267,31961268.34,8.69
15683,2025-05-20,LINKASSURE,,,1.36,1.36,1.48,1.48,1.48,0.12,29,463431,662109.63,1.43
15649,2025-05-20,DAARCOMM,,,0.66,0.66,0.67,0.66,0.67,0.01,24,879884,582819.58,0.66
15648,2025-05-20,CWG,,,10,10,10.35,10.25,10.3,0.3,136,2510294,25344178.6,10.1
15647,2025-05-20,CUTIX,,,2.75,2.75,2.98,2.79,2.95,0.2,296,19536332,57143863.15,2.93
15646,2025-05-20,CUSTODIAN,,,19.45,19.45,20.25,19.6,19.6,0.15,121,35644438,698803969.1,19.6
15645,2025-05-20,CORNERST,,,3.3,3.3,3.45,3.45,3.45,0.15,25,677960,2328403.1,3.43
15644,2025-05-20,CONOIL,,,331.2,331.2,331.2,331.2,331.2,0,18,2549,759856.9,298.1
15643,2025-05-20,CONHALLPLC,,,3,3,3,3,3,0,21,169510,513431.95,3.03
15642,2025-05-20,CILEASING,,,4.25,4.25,4.25,4.2,4.2,-0.5,51,1337432,5622337,4.2
15641,2025-05-20,CHELLARAM,,,13.05,13.05,13.05,13.05,13.05,0,50,46759,602622.8,12.89
15640,2025-05-20,CHAMS,,,2.32,2.32,2.31,2.23,2.3,-0.2,196,6875129,15734723.8,2.29
15639,2025-05-20,CHAMPION,,,7.5,7.5,8.25,7.35,8,0.5,319,9207035,73883228.33,8.02
15638,2025-05-20,CAVERTON,,,4.09,4.09,4.01,3.71,3.8,-0.29,148,5230524,20295848.9,3.88
15636,2025-05-20,CADBURY,,,38.2,38.2,38.2,38.2,38.2,0,114,1016443,38385835.15,37.76
15650,2025-05-20,DANGCEM,,,440,440,440,440,440,0,426,315514,136484941,432.58
15635,2025-05-20,BUAFOODS,,,418,418,418,418,418,0,142,20132,7573658.4,376.2
15633,2025-05-20,BETAGLAS,,,258.5,258.5,258.5,258.5,258.5,0,291,640157,150182407.7,234.6
15632,2025-05-20,BERGER,,,23.55,23.55,25.4,21.2,21.2,-2.35,109,2353467,51359073.05,21.82
15631,2025-05-20,AUSTINLAZ,,,2.06,2.06,2.06,2.06,2.06,0,2,200,400,2
15630,2025-05-20,ARADEL,,,503,503,460,460,460,-43,458,5542797,2548754367.3,459.83
15629,2025-05-20,ALEX,,,7.15,7.15,7.15,7.15,7.15,0,1,500,3925,7.85
15628,2025-05-20,AIRTELAFRI,,,2156.9,2156.9,2156.9,2156.9,2156.9,0,4,145,344012.5,2372.5
15627,2025-05-20,AIICO,,,1.65,1.65,1.67,1.6,1.66,0.01,165,10461324,17223015.37,1.65
15626,2025-05-20,AFRIPRUD,,,16.45,16.45,16.45,16,16,-0.45,118,902206,14710910.3,16.31
15625,2025-05-20,ACCESSCORP,,,23,23,23.3,22.6,22.8,-0.2,1003,18352208,421564785.4,22.97
15624,2025-05-20,ACADEMY,,,4.4,4.4,4.4,4.4,4.4,0,14,143558,631999.8,4.4
15623,2025-05-20,ABCTRANS,,,2.66,2.66,2.52,2.4,2.4,-0.26,69,2029349,4972173.25,2.45
15622,2025-05-20,ABBEYBDS,,,7.63,7.63,7.63,7.63,7.63,0,22,75917,553706.33,7.29
15685,2025-05-20,LIVINGTRUST,,,4.81,4.81,4.81,4.81,4.81,0,9,45457,231302.41,5.09
15634,2025-05-20,BUACEMENT,,,83.7,83.7,83.7,83.7,83.7,0,278,493912,38441523,77.83
15651,2025-05-20,DANGSUGAR,,,41.45,41.45,41.45,41.45,41.45,0,396,1598241,64024545.1,40.06
15637,2025-05-20,CAP,,,40,40,42.85,42.85,42.85,2.85,10,134139,5751343.1,42.88
15653,2025-05-20,ELLAHLAKES,,,3.2,3.2,3.2,3.08,3.19,-0.1,165,13384786,41799748.24,3.12
15652,2025-05-20,DEAPCAP,,,1,1,1,1,1,0,17,217376,216762.35,1
15681,2025-05-20,LEARNAFRCA,,,4.45,4.45,4.45,4.45,4.45,0,14,119235,537821.25,4.51
15680,2025-05-20,LASACO,,,2.8,2.8,2.8,2.8,2.8,0,33,544521,1465322.04,2.69
15679,2025-05-20,JULI,,,10.3,10.3,10.3,10.3,10.3,0,36,98692,1054520.4,10.68
15678,2025-05-20,JOHNHOLT,,,6.9,6.9,7.55,7.55,7.55,0.65,27,264040,1984543.95,7.52
15677,2025-05-20,JBERGER,,,137,137,137,137,137,0,42,16509,2035593.3,123.3
15676,2025-05-20,JAPAULGOLD,,,2.06,2.06,2.08,2,2.08,0.02,100,3747398,7636797.8,2.04
15675,2025-05-20,JAIZBANK,,,3.3,3.3,3.31,3.25,3.25,-0.5,160,2459940,8051116.53,3.27
15674,2025-05-20,INTENEGINS,,,1.74,1.74,1.74,1.74,1.74,0,23,249650,434651,1.74
15673,2025-05-20,INTBREW,,,9.6,9.6,9.8,9.7,9.8,0.2,128,3295691,32106416.88,9.74
15672,2025-05-20,INFINITY,,,6.8,6.8,6.8,6.8,6.8,0,1,144,1000.8,6.95
15671,2025-05-20,IMG,,,39.85,39.85,39.85,39.85,39.85,0,47,313987,12004156.65,38.23
15670,2025-05-20,IKEJAHOTEL,,,15.4,15.4,16,16,16,0.6,92,974064,15447680.75,15.86
15669,2025-05-20,HONYFLOUR,,,18.4,18.4,18.4,17.15,18.1,-0.3,455,7837467,139092476.9,17.75
15668,2025-05-20,HMCALL,,,4.23,4.23,4.23,4.23,4.23,0,26,389859,1746921.16,4.48
15682,2025-05-20,LEGENDINT,,,8.4,8.4,8.4,8.4,8.4,0,68,390220,3134609.65,8.03
15654,2025-05-20,ETERNA,,,43,43,43,43,43,0,90,2743973,117605451.45,42.86
15655,2025-05-20,ETI,,,29,29,29.5,29.5,29.5,0.5,77,322535,9581025.3,29.71
15656,2025-05-20,ETRANZACT,,,6.1,6.1,6.1,6.1,6.1,0,9,18174,115404.55,6.35
15657,2025-05-20,EUNISELL,,,11.8,11.8,11.8,11.8,11.8,0,24,218270,2669020.95,12.23
15667,2025-05-20,GUINNESS,,,86,86,86,86,86,0,83,127544,11065293.9,86.76
15659,2025-05-20,FIDELITYBK,,,20,18,19.85,18,19,-1,1277,60180904,1120721532.9,18.62
15660,2025-05-20,FIDSON,,,27.85,27.85,27.85,27.85,27.85,0,151,578042,15703103.35,27.17
15658,2025-05-20,FCMB,,,9.45,9.45,9.5,9.3,9.5,0.05,359,5555268,52053778,9.37
15662,2025-05-20,FTNCOCOA,,,2.34,2.34,2.37,2.11,2.25,-0.9,226,10639675,23360053.16,2.2
15663,2025-05-20,GEREGU,,,1141.5,1141.5,1141.5,1141.5,1141.5,0,85,2850,2928090,1027.4
15664,2025-05-20,GREENWETF,,,460,460,505,500,505,45,2,137,69000,503.65
15665,2025-05-20,GTCO,,,68.5,68.5,69.3,68.85,69.3,0.8,637,9540655,657722479.9,68.94
15666,2025-05-20,GUINEAINS,,,0.65,0.65,0.65,0.65,0.65,0,26,311088,200940.51,0.65
15661,2025-05-20,FIRSTHOLDCO,,,25,25,25,24.8,24.8,-0.2,297,4861490,121276105.05,24.95
15834,2025-05-21,NNFM,,,131.85,131.85,131.85,131.85,131.85,0,125,306998,38305531.15,124.77
15835,2025-05-21,NPFMCRFBK,,,2.41,2.41,2.35,2.3,2.3,-0.11,57,2709248,6288642.46,2.32
15836,2025-05-21,NSLTECH,,,0.58,0.58,0.59,0.59,0.59,0.01,25,852010,506179.86,0.59
15837,2025-05-21,OANDO,,,52.5,52.5,50,50,50,-2.5,656,2450403,122253318.05,49.89
15838,2025-05-21,OKOMUOIL,,,590,590,590,590,590,0,336,69115,41019207.8,593.49
15845,2025-05-21,ROYALEX,,,0.85,0.85,0.85,0.85,0.85,0,21,785537,667146.39,0.85
15840,2025-05-21,PRESCO,,,880,880,880,880,880,0,239,265189,233008120.4,878.65
15841,2025-05-21,PRESTIGE,,,1.04,1.04,1,0.98,0.98,-0.6,33,1599618,1594912.45,1
15842,2025-05-21,PZ,,,29.5,29.5,29.5,29.5,29.5,0,112,340445,9788526.35,28.75
15843,2025-05-21,REDSTAREX,,,5.55,5.55,5.55,5.55,5.55,0,9,160536,979269.6,6.1
15844,2025-05-21,REGALINS,,,0.66,0.66,0.7,0.66,0.68,0.02,45,2237677,1512381.23,0.68
15833,2025-05-21,NIDF,,,111.7,111.7,111.7,111.7,111.7,0,57,94245,10835872.7,114.98
15839,2025-05-21,OMATEK,,,0.66,0.66,0.69,0.67,0.68,0.02,26,1606535,1095773.15,0.68
15832,2025-05-21,NGXGROUP,,,35.5,35.5,36,36,36,0.5,59,1116792,39408242.55,35.29
15824,2025-05-21,NAHCO,,,70.8,70.8,70.8,70.8,70.8,0,253,2394449,171983802.75,71.83
15830,2025-05-21,NESTLE,,,1464.1,1464.1,1590.5,1590.5,1590.5,126.4,274,212646,334998284.3,1575.38
15829,2025-05-21,NEM,,,14.6,14.6,14.6,14.6,14.6,0,38,179170,2627886.25,14.67
15828,2025-05-21,NEIMETH,,,3.55,3.55,3.7,3.55,3.55,0,88,1578110,5690136.23,3.61
15827,2025-05-21,NCR,,,7.3,7.3,7.3,7.3,7.3,0,1,10000,73000,7.3
15826,2025-05-21,NB,,,59.5,59.5,60,59.55,59.7,0.2,431,52243192,3132079762.6,59.95
15825,2025-05-21,NASCON,,,54,54,56.85,54.6,56,2,210,3667523,203845821.15,55.58
15823,2025-05-21,MULTIVERSE,,,9.7,9.7,9.8,9,9,-0.7,42,640157,6139809.4,9.59
15822,2025-05-21,MTNN,,,275,275,275,275,275,0,487,763109,206374093.6,270.44
15821,2025-05-21,MRS,,,157.5,157.5,157.5,157.5,157.5,0,37,9961,1439822.7,144.55
15820,2025-05-21,MEYER,,,9,9,9.8,8.1,9.8,0.8,19,2600236,21580729.5,8.3
15819,2025-05-21,MERVALUE,,,130.68,130.68,130.68,130,130.67,-0.1,3,2259,294524.27,130.38
15818,2025-05-21,MECURE,,,11.1,11.1,11.1,11.1,11.1,0,13,18797,222613.6,11.84
15817,2025-05-21,MCNICHOLS,,,2.54,2.54,2.54,2.3,2.3,-0.24,98,3245291,7934549.77,2.44
15831,2025-05-21,NEWGOLD,,,65000,65000,65000,60000,60000,-5000,4,17,1095000,64411.76
15846,2025-05-21,RTBRISCOE,,,1.9,1.9,2.09,2.09,2.09,0.19,51,1206790,2516124.1,2.08
15877,2025-05-21,ZENITHBANK,,,48.05,48.05,48.7,47.95,47.95,-0.1,918,20148753,972319567.6,48.26
15848,2025-05-21,SEPLAT,,,5588.9,5588.9,5588.9,5588.9,5588.9,0,166,4955,24924145.5,5030.1
15816,2025-05-21,MBENEFIT,,,0.92,0.92,1.01,0.98,1,0.08,80,3482200,3459878.6,0.99
15876,2025-05-21,WEMABANK,,,13.05,13.05,13.5,13.1,13.4,0.35,164,3700283,48952952.1,13.23
15875,2025-05-21,WAPIC,,,1.99,1.99,2.04,1.99,1.99,0,41,1313159,2647578.64,2.02
15874,2025-05-21,WAPCO,,,79.75,79.75,79,79,79,-0.75,177,1962288,154827728.95,78.9
15873,2025-05-21,VSPBONDETF,,,255.5,255.5,385,255.56,385,129.5,4,26,9104.91,350.19
15872,2025-05-21,VITAFOAM,,,58.8,58.8,58.8,58.8,58.8,0,223,1267688,74007267.95,58.38
15871,2025-05-21,VFDGROUP,,,16.1,16.1,16.1,16.1,16.1,0,284,8313316,127810833.6,15.37
15870,2025-05-21,VETINDETF,,,40.5,40.5,40.5,40.5,40.5,0,1,600,24300,40.5
15869,2025-05-21,VERITASKAP,,,1,1,1.03,0.99,0.99,-0.1,100,8059529,8056251.61,1
15868,2025-05-21,UPL,,,3.97,3.97,3.97,3.97,3.97,0,34,518141,2214776.8,4.27
15867,2025-05-21,UPDC,,,3.03,3.03,3.12,3.05,3.1,0.07,120,2404427,7384356.99,3.07
15866,2025-05-21,UNIVINSURE,,,0.53,0.53,0.56,0.53,0.53,0,55,5206337,2848313.83,0.55
15865,2025-05-21,UNIONDICON,,,7.45,7.45,7.45,7.45,7.45,0,4,14905,105611.25,7.09
15864,2025-05-21,UNILEVER,,,47,47,46.05,46.05,46.05,-0.95,77,3967527,182793613.25,46.07
15863,2025-05-21,UCAP,,,18.9,18.9,18.9,18.75,18.75,-0.15,261,5243293,98613347.8,18.81
15862,2025-05-21,UBA,,,34.5,34.5,34.9,33.9,33.9,-0.6,1069,17808568,613415453.2,34.44
15861,2025-05-21,UACN,,,33,33,33,33,33,0,64,1115473,36895892.55,33.08
15860,2025-05-21,TRIPPLEG,,,2.2,2.2,2.2,2.2,2.2,0,24,492652,1139146.44,2.31
15859,2025-05-21,TRANSPOWER,,,328.5,328.5,328.5,328.5,328.5,0,37,97913,28952874.1,295.7
15858,2025-05-21,TRANSCORP,,,45,45,45,45,45,0,239,1188356,53343181.45,44.89
15857,2025-05-21,TRANSCOHOT,,,153.8,153.8,153.8,153.8,153.8,0,154,54992,8188084.75,148.9
15856,2025-05-21,TOTAL,,,705,705,705,705,705,0,91,12413,8073443.1,650.4
15855,2025-05-21,TIP,,,6.1,6.1,6.2,6.16,6.16,0.06,63,1008768,6243363.56,6.19
15854,2025-05-21,TANTALIZER,,,2.78,2.95,3.05,2.51,2.6,-0.18,586,82749272,231000480.6,2.79
15853,2025-05-21,SUNUASSUR,,,4.9,4.9,4.9,4.9,4.9,0,73,1196802,5339998.45,4.46
15852,2025-05-21,STERLINGNG,,,6.03,6.03,6.03,6,6,-0.3,332,10228443,61509925.33,6.01
15851,2025-05-21,STANBIC,,,69,69,69.15,69.15,69.15,0.15,126,295342,20447990.65,69.23
15850,2025-05-21,SOVRENINS,,,1.03,1.03,0.96,0.96,0.96,-0.7,21,472563,462326.52,0.98
15849,2025-05-21,SKYAVN,,,66.4,66.4,66.4,66.4,66.4,0,25,92101,5708073.95,61.98
15847,2025-05-21,SCOA,,,4.47,4.47,4.47,4.47,4.47,0,8,37190,180065.26,4.84
15815,2025-05-21,MAYBAKER,,,13.05,13.05,13.05,13.05,13.05,0,90,465590,5553722.5,11.93
15777,2025-05-21,DAARCOMM,,,0.67,0.67,0.64,0.64,0.64,-0.3,44,1693112,1092036.31,0.64
15813,2025-05-21,LIVINGTRUST,,,4.81,4.81,4.81,4.81,4.81,0,3,8599,41170.63,4.79
15779,2025-05-21,DANGSUGAR,,,41.45,41.45,41.45,41.45,41.45,0,530,1215264,48942803.85,40.27
15778,2025-05-21,DANGCEM,,,440,440,440,440,440,0,520,220757,94015612,425.88
15776,2025-05-21,CWG,,,10.3,10.3,10.3,10.3,10.3,0,171,4395566,44016244.7,10.01
15775,2025-05-21,CUTIX,,,2.95,2.97,3.24,2.9,3.2,0.25,488,22207287,69847725.61,3.15
15774,2025-05-21,CUSTODIAN,,,19.6,19.6,20,19.6,20,0.4,100,36492539,719280845.8,19.71
15773,2025-05-21,CORNERST,,,3.45,3.45,3.47,3.46,3.47,0.02,44,1765233,6121478.15,3.47
15772,2025-05-21,CONOIL,,,331.2,331.2,331.2,331.2,331.2,0,14,1520,453112,298.1
15771,2025-05-21,CONHALLPLC,,,3,3,3,3,3,0,31,486162,1459431.64,3
15770,2025-05-21,CILEASING,,,4.2,4.2,4.15,4,4,-0.2,37,675117,2744443.5,4.07
15769,2025-05-21,CHELLARAM,,,13.05,13.05,13.05,13.05,13.05,0,31,91536,1143748,12.5
15768,2025-05-21,CHAMS,,,2.3,2.3,2.33,2.25,2.33,0.03,212,3987979,9177982.82,2.3
15767,2025-05-21,CHAMPION,,,8,8,8,7.2,7.2,-0.8,201,4949876,36946433.17,7.46
15766,2025-05-21,CAVERTON,,,3.8,3.8,4,3.8,4,0.2,110,1883655,7336274.74,3.89
15780,2025-05-21,DEAPCAP,,,1,1,1,1,1,0,21,536832,534731.8,1
15765,2025-05-21,CAP,,,42.85,42.85,42.85,42.85,42.85,0,27,44966,2053918.35,45.68
15763,2025-05-21,BUAFOODS,,,418,418,418,418,418,0,165,46848,17624217.6,376.2
15762,2025-05-21,BUACEMENT,,,83.7,83.7,83.7,83.7,83.7,0,192,149988,11816886.6,78.79
15761,2025-05-21,BETAGLAS,,,258.5,258.5,258.5,258.5,258.5,0,146,189434,44071820.1,232.65
15760,2025-05-21,BERGER,,,21.2,21.2,22.95,21.2,21.2,0,83,3050310,65034565.45,21.32
15759,2025-05-21,AUSTINLAZ,,,2.06,2.06,2.06,2.06,2.06,0,12,22107,42031.23,1.9
15758,2025-05-21,ARADEL,,,460,460,460,460,460,0,336,505276,232915719.2,460.97
15757,2025-05-21,AIRTELAFRI,,,2156.9,2156.9,2156.9,2156.9,2156.9,0,6,13035,30925537.5,2372.5
15756,2025-05-21,AIICO,,,1.66,1.66,1.68,1.64,1.68,0.02,179,15058142,25181693.99,1.67
15755,2025-05-21,AFRIPRUD,,,16,16,16,16,16,0,109,948106,15331186.65,16.17
15754,2025-05-21,ACCESSCORP,,,22.8,22.8,22.9,21.85,21.85,-0.95,1071,35103761,788414951.55,22.46
15753,2025-05-21,ACADEMY,,,4.4,4.4,4.4,4.4,4.4,0,28,64625,281012.67,4.35
15752,2025-05-21,ABCTRANS,,,2.4,2.4,2.27,2.27,2.27,-0.13,71,912166,2121806.4,2.33
15751,2025-05-21,ABBEYBDS,,,7.63,7.63,7.63,7.63,7.63,0,17,13056,89694.72,6.87
15764,2025-05-21,CADBURY,,,38.2,38.2,38.2,38.2,38.2,0,110,339934,12660307,37.24
15781,2025-05-21,ELLAHLAKES,,,3.19,3.19,3.19,3.08,3.19,0,123,4896141,15259027.91,3.12
15814,2025-05-21,MANSARD,,,9,9,9.43,8.5,9.43,0.43,100,2747906,24731482.11,9
15783,2025-05-21,ETI,,,29.5,29.5,29.5,29.5,29.5,0,53,159924,4774616.95,29.86
15812,2025-05-21,LIVESTOCK,,,8.12,8.12,8.9,8.9,8.9,0.78,88,1128237,9655271.06,8.56
15811,2025-05-21,LINKASSURE,,,1.48,1.48,1.62,1.58,1.62,0.14,79,29595032,47871920.86,1.62
15810,2025-05-21,LEGENDINT,,,8.4,8.4,8.4,8.4,8.4,0,37,195441,1524754.82,7.8
15809,2025-05-21,LEARNAFRCA,,,4.45,4.45,4.45,4.45,4.45,0,10,12032,53504.66,4.45
