,Date,Symbol,Company,Sector,PClose,Open,High,Low,Close,Change,Deals,Volume,Value,VWAP
9413,2025-02-25,CILEASING,,,3.9,3.9,3.92,3.77,3.92,0.02,38,2060432,7843215.34,3.81
9412,2025-02-25,CHELLARAM,,,7.89,7.89,7.89,7.89,7.89,0,16,18308,136247.68,7.44
9411,2025-02-25,CHAMS,,,2.26,2.26,2.35,2.08,2.1,-0.16,168,11046635,24058641.31,2.18
9410,2025-02-25,CHAMPION,,,4.12,4.12,3.75,3.75,3.75,-0.37,19,478161,1796564.64,3.76
9409,2025-02-25,CAVERTON,,,2.4,2.4,2.36,2.23,2.23,-0.17,48,1101577,2513506.17,2.28
9408,2025-02-25,CAP,,,47,47,47,47,47,0,22,941906,43345424,46.02
9407,2025-02-25,CADBURY,,,29.1,29.1,29.1,29.1,29.1,0,110,790255,21329440.2,26.99
9406,2025-02-25,BUAFOODS,,,418,418,418,418,418,0,60,6294,2367802.8,376.2
9405,2025-02-25,BUACEMENT,,,93,93,93,93,93,0,152,1495084,125138530.8,83.7
9404,2025-02-25,BETAGLAS,,,99.85,99.85,99.85,99.85,99.85,0,36,213329,20295563.85,95.14
9403,2025-02-25,BERGER,,,20.9,20.9,20.9,20.9,20.9,0,40,76327,1580705.85,20.71
9402,2025-02-25,AUSTINLAZ,,,1.9,1.9,1.9,1.9,1.9,0,4,8260,15451.4,1.87
9401,2025-02-25,ARADEL,,,515.6,515.6,515,515,515,-0.6,541,3161502,1587939249.2,502.27
9400,2025-02-25,ALEX,,,7.15,7.15,7.15,7.15,7.15,0,1,1,7.85,7.85
9399,2025-02-25,AIRTELAFRI,,,2156.9,2156.9,2156.9,2156.9,2156.9,0,4,440,1043900,2372.5
9398,2025-02-25,AIICO,,,1.72,1.72,1.73,1.63,1.65,-0.7,222,14006039,23498129.04,1.68
9397,2025-02-25,AFRIPRUD,,,33.55,33.55,33.45,30.3,30.3,-3.25,161,2778401,86433157.05,31.11
9396,2025-02-25,ACCESSCORP,,,25.8,25.8,25.8,25.6,25.65,-0.15,568,36846917,945552267.4,25.66
9395,2025-02-25,ACADEMY,,,2.78,2.78,2.78,2.78,2.78,0,10,159740,451840.2,2.83
9393,2025-02-25,ABBEYBDS,,,3.6,3.6,3.6,3.6,3.6,0,20,78843,309998.12,3.93
9457,2025-02-25,MAYBAKER,,,8.9,8.9,8.8,8.2,8.2,-0.7,72,2362399,19564286.95,8.28
9422,2025-02-25,DANGSUGAR,,,41,41,41,41,41,0,273,828518,32762603.4,39.54
9423,2025-02-25,DEAPCAP,,,0.97,0.97,0.97,0.97,0.97,0,22,265750,256769.5,0.97
9394,2025-02-25,ABCTRANS,,,1.23,1.23,1.33,1.33,1.33,0.1,21,389208,511994.38,1.32
9425,2025-02-25,ENAMELWA,,,23.2,23.2,23.2,23.2,23.2,0,3,8700,184440,21.2
9424,2025-02-25,ELLAHLAKES,,,3.21,3.21,3.29,3.22,3.22,0.01,103,5318565,17230451.2,3.24
9454,2025-02-25,LINKASSURE,,,1.4,1.4,1.45,1.35,1.35,-0.5,32,2218910,3080589.12,1.39
9453,2025-02-25,LEARNAFRCA,,,3.95,3.95,3.7,3.56,3.66,-0.29,23,1765456,6371089.3,3.61
9452,2025-02-25,LASACO,,,3.18,3.18,2.9,2.89,2.89,-0.29,401,925160,2706636.77,2.93
9451,2025-02-25,JULI,,,10.3,10.3,10.3,10.3,10.3,0,30,79688,767685.95,9.63
9450,2025-02-25,JOHNHOLT,,,7,7,7,7,7,0,25,101233,684642.63,6.76
9449,2025-02-25,JBERGER,,,128,128,126.3,115.6,126.3,-1.7,98,380458,45885573.2,120.61
9448,2025-02-25,JAPAULGOLD,,,2.15,2.15,2.11,2.08,2.08,-0.7,106,8003304,16752216.58,2.09
9447,2025-02-25,JAIZBANK,,,3.4,3.4,3.4,3.22,3.25,-0.15,225,23025653,76635713.03,3.33
9446,2025-02-25,INTENEGINS,,,2.36,2.36,2.13,2.13,2.13,-0.23,3,263316,560863.08,2.13
9445,2025-02-25,INTBREW,,,5.7,5.7,5.7,5.7,5.7,0,24,438168,2454044.14,5.6
9444,2025-02-25,INFINITY,,,7,7,7,7,7,0,1,100,700,7
9443,2025-02-25,IMG,,,38,38,38,38,38,0,7,8772,310661,35.42
9442,2025-02-25,IKEJAHOTEL,,,12.1,12.1,12.1,12.1,12.1,0,116,542725,6412254.15,11.81
9441,2025-02-25,HONYFLOUR,,,12.5,12.5,12.75,11.25,11.25,-1.25,278,7420460,86907241.4,11.71
9455,2025-02-25,LIVESTOCK,,,6.41,6.41,6.65,6.06,6.28,-0.13,188,4763642,30765944.46,6.46
9439,2025-02-25,GUINNESS,,,74,74,74,74,74,0,42,14925852,1104625775.65,74.01
9440,2025-02-25,HMCALL,,,5.87,5.87,5.87,5.87,5.87,0,38,41200,217948,5.29
9426,2025-02-25,ETERNA,,,39.4,39.4,39.4,39.4,39.4,0,159,2018067,80510273.35,39.89
9427,2025-02-25,ETI,,,34.7,34.7,34.7,34.7,34.7,0,53,921224,28820095.7,31.28
9428,2025-02-25,ETRANZACT,,,6.5,6.5,6.5,6.5,6.5,0,18,156383,947324.25,6.06
9429,2025-02-25,EUNISELL,,,10.85,10.85,10.85,10.85,10.85,0,26,103154,1114473.45,10.8
9431,2025-02-25,FCMB,,,10.55,10.55,10.65,10.5,10.5,-0.5,246,5136559,54021242.95,10.52
9430,2025-02-25,FBNH,,,29.45,29.45,29.5,29.2,29.5,0.05,311,3306733,97170755.15,29.39
9433,2025-02-25,FIDSON,,,19.8,19.8,19.8,19.8,19.8,0,40,408495,7474892.5,18.3
9434,2025-02-25,FTNCOCOA,,,1.71,1.71,1.72,1.72,1.72,0.01,46,900107,1555644,1.73
9435,2025-02-25,GEREGU,,,1150,1150,1150,1150,1150,0,46,2722,2817270,1035
9436,2025-02-25,GOLDBREW,,,7.09,7.09,7.09,7.09,7.09,0,2,11,70.9,6.45
9437,2025-02-25,GTCO,,,63,63,62.8,62.5,62.5,-0.5,314,11605892,728299288.3,62.75
9438,2025-02-25,GUINEAINS,,,0.79,0.79,0.8,0.8,0.8,0.01,402,442195,353111.95,0.8
